               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.018114,            0.019802,          0.00061111,             0.95788,             0.97403,             0.97799,             0.92397,           0.0076518,            0.011648,          0.00017096,             0.00562,             0.00562,             0.00562
                 148,            0.018146,            0.020261,          0.00062325,             0.95854,             0.97265,               0.978,             0.92403,           0.0076467,            0.011643,          0.00017066,             0.00559,             0.00559,             0.00559
                 149,            0.018232,            0.020059,          0.00059213,             0.95899,             0.97196,             0.97793,             0.92383,           0.0076437,            0.011643,          0.00017053,             0.00556,             0.00556,             0.00556
                 150,            0.018349,            0.020175,           0.0006065,             0.95896,             0.97129,             0.97786,             0.92388,           0.0076397,            0.011642,          0.00017006,             0.00553,             0.00553,             0.00553
                 151,            0.018134,            0.019777,          0.00059744,             0.96003,             0.97028,             0.97782,              0.9234,           0.0076368,            0.011645,          0.00016991,              0.0055,              0.0055,              0.0055
                 152,            0.018225,            0.019957,          0.00060161,             0.95987,             0.97107,             0.97784,             0.92361,           0.0076351,            0.011645,          0.00016971,             0.00547,             0.00547,             0.00547
                 153,            0.018173,            0.020103,          0.00063407,             0.95959,             0.97147,             0.97782,             0.92324,            0.007633,            0.011648,          0.00016922,             0.00544,             0.00544,             0.00544
                 154,            0.018004,            0.020059,          0.00056495,             0.95888,             0.97209,             0.97785,             0.92398,           0.0076267,            0.011645,          0.00016894,             0.00541,             0.00541,             0.00541
                 155,             0.01814,            0.019959,          0.00059468,             0.95856,             0.97058,             0.97782,             0.92404,           0.0076207,             0.01164,          0.00016879,             0.00538,             0.00538,             0.00538
                 156,            0.018026,            0.020035,          0.00060731,             0.95932,              0.9703,             0.97774,             0.92404,           0.0076186,            0.011642,          0.00016864,             0.00535,             0.00535,             0.00535
                 157,             0.01812,            0.019633,          0.00058778,             0.95917,             0.96989,             0.97774,             0.92437,           0.0076117,            0.011641,          0.00016817,             0.00532,             0.00532,             0.00532
